,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
131,tensor(1.1455),tensor(1.0186),tensor(0.0462),tensor(0.0843),100_030,0.060939685,0.11713055
136,tensor(1.0058),tensor(1.0141),tensor(0.),tensor(0.0158),030_100,0.0016281222,0.024224862
137,tensor(1.0068),tensor(1.0164),tensor(0.),tensor(0.0240),030_100,0.0019436057,0.02841242
138,tensor(1.0084),tensor(1.0189),tensor(6.2813e-05),tensor(0.0347),030_100,0.0023334664,0.03317327
139,tensor(1.0101),tensor(1.0211),tensor(0.0004),tensor(0.0467),030_100,0.0027392202,0.03770188
140,tensor(1.0117),tensor(1.0229),tensor(0.0013),tensor(0.0612),030_100,0.003108915,0.041418992
141,tensor(1.0132),tensor(1.0247),tensor(0.0022),tensor(0.0752),030_100,0.0034926985,0.045106236
142,tensor(1.0148),tensor(1.0268),tensor(0.0031),tensor(0.0925),030_100,0.0039983424,0.049748722
143,tensor(1.0166),tensor(1.0292),tensor(0.0043),tensor(0.1145),030_100,0.0046286937,0.055125408
144,tensor(1.0185),tensor(1.0317),tensor(0.0056),tensor(0.1397),030_100,0.005356721,0.06084026
145,tensor(1.0207),tensor(1.0346),tensor(0.0068),tensor(0.1688),030_100,0.0063007134,0.0676897
146,tensor(1.0228),tensor(1.0379),tensor(0.0090),tensor(0.2016),030_100,0.007451134,0.0755843
147,tensor(1.0252),tensor(1.0416),tensor(0.0111),tensor(0.2391),030_100,0.008944963,0.08509219
148,tensor(1.0276),tensor(1.0461),tensor(0.0138),tensor(0.2810),030_100,0.010909331,0.09682702
149,tensor(1.0297),tensor(1.0506),tensor(0.0171),tensor(0.3281),030_100,0.01312525,0.10936125
150,tensor(1.0319),tensor(1.0561),tensor(0.0210),tensor(0.3808),030_100,0.016112557,0.12523015
151,tensor(1.0338),tensor(1.0615),tensor(0.0259),tensor(0.4431),030_100,0.01945275,0.14200833
152,tensor(1.0356),tensor(1.0661),tensor(0.0320),tensor(0.5163),030_100,0.022657303,0.15684049
153,tensor(1.0367),tensor(1.0689),tensor(0.0348),tensor(0.5505),030_100,0.024836168,0.16646235
154,tensor(1.0001),tensor(1.0005),tensor(9.9322e-05),tensor(0.0019),Equi,4.9909468e-05,0.00077287963
155,tensor(1.0077),tensor(1.0054),tensor(0.0013),tensor(0.0120),Equi,0.0006483365,0.009539138
