,lambda,P_experimental,I1,I2,F,experiment_type,P_model_PDMS_StrainEnergyCANN_polinomial3_0
43,0.9618383,-0.43491922390000004,3.0044845069813673,3.0046023604082084,"([0.9618383, 0, 0], [0, 1.0196449361504418, 0], [0, 0, 1.0196449361504418])",Compression,-3.5379925
44,0.9683121,-0.32118534540000004,3.0030780886346617,3.0031448835834498,"([0.9683121, 0, 0], [0, 1.0162307232189576, 0], [0, 0, 1.0162307232189576])",Compression,-2.8960762
45,0.9744453,-0.2328549012,3.001993379993917,3.002028081037585,"([0.9744453, 0, 0], [0, 1.0130275754642188, 0], [0, 0, 1.0130275754642188])",Compression,-2.306776
46,0.9809191,-0.1587461817,3.001106406477503,3.001120708482449,"([0.9809191, 0, 0], [0, 1.0096791880921119, 0], [0, 0, 1.0096791880921119])",Compression,-1.7020645
47,0.9870523,-0.09731094539999999,3.0005073269323588,3.000511753905152,"([0.9870523, 0, 0], [0, 1.006537402185599, 0], [0, 0, 1.006537402185599])",Compression,-1.1433277
48,0.9935261,-0.041974665790000004,3.000126280339831,3.0001268283155627,"([0.9935261, 0, 0], [0, 1.003252752041733, 0], [0, 0, 1.003252752041733])",Compression,-0.56625175
49,1.0,0.01183107833,3.0,3.0,"([1.0, 0, 0], [0, 1.0, 0], [0, 0, 1.0])",Compression,0.0
50,1.0103107,0.13802,3.0003167617045907,3.0003146028781345,"([1.0103107, 0, 0], [0, 0.9948841769698874, 0], [0, 0, 0.9948841769698874])",Tensile,0.8845978
51,1.0163167,6.7862,3.0007901554391276,3.000781675404821,"([1.0163167, 0, 0], [0, 0.9919401495907497, 0], [0, 0, 0.9919401495907497])",Tensile,1.3927803
52,1.0223227,12.71701,3.001473147639981,3.0014516240546407,"([1.0223227, 0, 0], [0, 0.9890221040767215, 0], [0, 0, 0.9890221040767215])",Tensile,1.897541
53,1.028629,18.61067,3.00241323530029,3.0023682465802977,"([1.028629, 0, 0], [0, 0.9859857036639249, 0], [0, 0, 0.9859857036639249])",Tensile,2.4253635
54,1.034635,24.275299999999998,3.003518436202137,3.003439466999056,"([1.034635, 0, 0], [0, 0.9831197416838746, 0], [0, 0, 0.9831197416838746])",Tensile,2.927349
55,1.040641,30.07366,3.00482606298627,3.004699572489105,"([1.040641, 0, 0], [0, 0.9802786267447816, 0], [0, 0, 0.9802786267447816])",Tensile,3.4299068
