,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
125,tensor(1.1105),tensor(1.0175),tensor(0.0192),tensor(0.0445),100_030,0.109124504,0.21921727
126,tensor(1.1182),tensor(1.0178),tensor(0.0221),tensor(0.0496),100_030,0.12960589,0.2398903
127,tensor(1.1272),tensor(1.0182),tensor(0.0255),tensor(0.0537),100_030,0.1565839,0.26729524
128,tensor(1.1351),tensor(1.0183),tensor(0.0294),tensor(0.0604),100_030,0.182523,0.29155397
129,tensor(1.1414),tensor(1.0185),tensor(0.0341),tensor(0.0661),100_030,0.2049769,0.31270066
130,tensor(1.1448),tensor(1.0185),tensor(0.0404),tensor(0.0749),100_030,0.21755561,0.3242816
131,tensor(1.1455),tensor(1.0186),tensor(0.0462),tensor(0.0843),100_030,0.22023623,0.3270539
136,tensor(1.0058),tensor(1.0141),tensor(0.),tensor(0.0158),030_100,0.0021958295,0.09035116
137,tensor(1.0068),tensor(1.0164),tensor(0.),tensor(0.0240),030_100,0.0027096441,0.10594162
138,tensor(1.0084),tensor(1.0189),tensor(6.2813e-05),tensor(0.0347),030_100,0.0034003824,0.1235377
139,tensor(1.0101),tensor(1.0211),tensor(0.0004),tensor(0.0467),030_100,0.0041779093,0.1401958
140,tensor(1.0117),tensor(1.0229),tensor(0.0013),tensor(0.0612),030_100,0.004940249,0.15376985
141,tensor(1.0132),tensor(1.0247),tensor(0.0022),tensor(0.0752),030_100,0.005757943,0.16727589
142,tensor(1.0148),tensor(1.0268),tensor(0.0031),tensor(0.0925),030_100,0.006867036,0.18432732
143,tensor(1.0166),tensor(1.0292),tensor(0.0043),tensor(0.1145),030_100,0.008303894,0.20405628
144,tensor(1.0185),tensor(1.0317),tensor(0.0056),tensor(0.1397),030_100,0.01002556,0.2249839
145,tensor(1.0207),tensor(1.0346),tensor(0.0068),tensor(0.1688),030_100,0.012325801,0.2500397
146,tensor(1.0228),tensor(1.0379),tensor(0.0090),tensor(0.2016),030_100,0.015178629,0.27897468
147,tensor(1.0252),tensor(1.0416),tensor(0.0111),tensor(0.2391),030_100,0.018957876,0.31379268
148,tensor(1.0276),tensor(1.0461),tensor(0.0138),tensor(0.2810),030_100,0.023988655,0.35678336
149,tensor(1.0297),tensor(1.0506),tensor(0.0171),tensor(0.3281),030_100,0.029702514,0.40272415
150,tensor(1.0319),tensor(1.0561),tensor(0.0210),tensor(0.3808),030_100,0.037453003,0.46081373
151,tensor(1.0338),tensor(1.0615),tensor(0.0259),tensor(0.4431),030_100,0.046137586,0.5221486
152,tensor(1.0356),tensor(1.0661),tensor(0.0320),tensor(0.5163),030_100,0.05453442,0.5760678
153,tensor(1.0367),tensor(1.0689),tensor(0.0348),tensor(0.5505),030_100,0.06025426,0.610936
154,tensor(1.0001),tensor(1.0005),tensor(9.9322e-05),tensor(0.0019),Equi,6.0324026e-05,0.002898149
155,tensor(1.0077),tensor(1.0054),tensor(0.0013),tensor(0.0120),Equi,0.00082438457,0.034136567
156,tensor(1.0149),tensor(1.0096),tensor(0.0024),tensor(0.0194),Equi,0.0019945141,0.061627064
157,tensor(1.0217),tensor(1.0130),tensor(0.0032),tensor(0.0254),Equi,0.0038056243,0.08617645
158,tensor(1.0283),tensor(1.0159),tensor(0.0039),tensor(0.0319),Equi,0.0063835373,0.10869893
159,tensor(1.0346),tensor(1.0185),tensor(0.0047),tensor(0.0443),Equi,0.009840304,0.13026093
160,tensor(1.0407),tensor(1.0209),tensor(0.0061),tensor(0.0591),Equi,0.014211097,0.15196644
161,tensor(1.0470),tensor(1.0234),tensor(0.0078),tensor(0.0752),Equi,0.020054027,0.1759705
162,tensor(1.0534),tensor(1.0263),tensor(0.0096),tensor(0.0911),Equi,0.027840547,0.20502363
163,tensor(1.0604),tensor(1.0293),tensor(0.0123),tensor(0.1119),Equi,0.038211375,0.23783132
164,tensor(1.0681),tensor(1.0330),tensor(0.0155),tensor(0.1361),Equi,0.05273255,0.28031093
165,tensor(1.0753),tensor(1.0364),tensor(0.0189),tensor(0.1654),Equi,0.069177866,0.3230046
166,tensor(1.0825),tensor(1.0401),tensor(0.0234),tensor(0.1983),Equi,0.0892742,0.37276614
167,tensor(1.0896),tensor(1.0440),tensor(0.0290),tensor(0.2348),Equi,0.112816274,0.42827526
168,tensor(1.0965),tensor(1.0480),tensor(0.0355),tensor(0.2774),Equi,0.1403317,0.4902752
169,tensor(1.1041),tensor(1.0528),tensor(0.0441),tensor(0.3266),Equi,0.17560017,0.56751156
170,tensor(1.1112),tensor(1.0577),tensor(0.0542),tensor(0.3823),Equi,0.21536018,0.6521439
171,tensor(1.1182),tensor(1.0623),tensor(0.0670),tensor(0.4462),Equi,0.25851598,0.73907626
172,tensor(1.1235),tensor(1.0663),tensor(0.0824),tensor(0.5160),Equi,0.2965542,0.81572986
173,tensor(1.1267),tensor(1.0688),tensor(0.1020),tensor(0.5998),Equi,0.32178035,0.8661563
174,tensor(1.),tensor(1.0008),tensor(0.0025),tensor(0.0051),HolX,9.2810704e-05,0.004463938
175,tensor(1.),tensor(1.0054),tensor(0.0025),tensor(0.0241),HolX,0.00067448994,0.03250069
176,tensor(1.),tensor(1.0093),tensor(0.0025),tensor(0.0385),HolX,0.0012005242,0.057178095
