reg,xi1,xi2,xi3,r1,r2,r3
0,0.001749804,0.000708362,0.002886246,-0.000593031,0.00115982,1.90E-06
0,0.001867359,0.000531547,0.003110579,-0.000593105,0.001159616,5.27E-07
0,0.001952094,0.000811649,-0.000548881,-0.000593157,0.001159941,-4.75E-08
0,0.001733949,0.000766568,-0.000429177,-0.000593028,0.001159888,1.10E-06
0,0.002392283,0.000392752,0.000584517,-0.000593417,0.001159455,6.28E-07
0,0.00326287,-0.000904906,0.000482053,-0.000593935,0.001157951,-7.32E-07
0,0.002241502,-0.001709762,0.001763333,-0.000593328,0.00115702,2.09E-07
0,0.004187344,0.005183792,-0.003910095,-0.000594477,0.001165022,-1.74E-06
0,0.001112225,0.001243641,0.002317794,-0.000592649,0.001160438,3.22E-06
0,-0.000617033,-0.003356856,0.002472994,-0.000591633,0.001155116,6.49E-07
0,-0.00104638,0.001986609,-0.001009812,-0.00059138,0.001161305,-6.70E-07
0,-0.000275981,0.002116033,0.001228823,-0.000591834,0.001161454,1.69E-06
0,0.001248428,-0.002966221,0.003151351,-0.000592737,0.001155567,7.48E-07
0,0.001967754,-0.000397533,-0.000971307,-0.000593164,0.001158539,-1.36E-06
0,-0.001749296,0.002156659,0.001122343,-0.000590959,0.001161497,3.37E-06
0,0.00030162,0.003380353,-0.001438153,0.001340382,0.003625217,1.10E-05
0,0.005961409,0.003895454,-0.001772051,0.001348016,0.003627101,-2.37E-06
0,0.003533785,0.004257887,-0.001084889,0.001344749,0.003628391,-1.36E-05
0,0.002654246,0.002522108,-0.006552089,0.001343649,0.003622092,-1.52E-05
0,0.005927392,0.002575049,-0.004802754,0.001347998,0.003622308,-7.24E-06
0,0.005303914,0.004381551,-0.001154597,0.001347132,0.003628854,-8.88E-06
0,0.003857962,0.001177935,-0.007455909,0.001345274,0.003617232,-1.39E-05
0,0.012359314,-0.001227955,-0.007416216,0.001356661,0.003608566,3.87E-07
0,0.00264949,0.001874317,0.000959513,0.001343555,0.003619778,-2.71E-07
0,0.004624299,0.001474888,0.000251438,0.001346211,0.003618333,4.55E-07
0,0.004376933,0.001455337,-0.002069922,0.001345885,0.00361826,-3.71E-06
0,0.004326943,0.003773041,-0.001935708,0.00134582,0.003626653,-5.88E-06
0,0.005186249,0.00386009,-0.00180303,0.001346975,0.003626971,-4.35E-06
0,0.005292309,0.001711051,-0.003547319,0.00134713,0.003619183,-5.93E-06
0,0.005565722,0.002284606,-0.002834237,0.001347498,0.003621256,-7.67E-06
0,0.008925059,0.003028373,0.000387882,0.001352013,0.003623958,3.94E-07
0,0.006001714,0.004335345,-0.003794046,0.001348108,0.003628673,-1.33E-05
0,0.002964305,0.002769026,0.00154917,0.001343984,0.003623016,4.29E-06
0,0.005345802,0.000885686,0.003205688,0.001347207,0.00361619,9.04E-06
0,0.006394015,0.002823938,0.000901028,0.001348599,0.003623212,6.28E-06
0,0.004379401,0.003065187,-0.001171729,0.001345882,0.003624091,-3.54E-07
0,0.005407511,0.001614522,-0.000588677,0.001347267,0.003618837,-2.03E-06
0,0.007579207,0.002668414,-0.000420512,0.001350195,0.003622654,-2.13E-07
0,0.003791962,0.003611877,-0.001325861,0.001345093,0.003626073,-2.05E-06
0,0.005298148,0.005939258,-0.001118643,0.001347115,0.003634522,2.33E-06
0,0.004353777,0.003670895,0.000853773,0.001345849,0.003626286,2.66E-06
0,0.004113559,0.000610234,0.002433093,0.001345526,0.003615205,9.07E-07
0,0.004593454,0.002003793,-0.001087476,0.00134617,0.003620247,-7.23E-07
0,0.005597415,0.002257787,-0.001644207,0.001347524,0.003621166,-1.69E-06
0,0.005929057,0.001376901,0.000158327,0.001347967,0.003617976,-4.19E-06
0,0.00538692,0.002339854,-0.003084586,0.001347259,0.003621455,-8.03E-06
0,0.003959515,0.00312171,-0.006024383,0.001345381,0.003624277,-1.19E-05
0,0.003902718,0.005020602,0.001395851,0.001345249,0.003631169,1.07E-05
0,0.004592667,0.002811947,0.000478589,0.001346169,0.003623173,2.45E-06
0,0.00434456,-1.79E-06,0.001373661,0.001345834,0.003612994,-5.35E-07
0,0.004575602,0.002025974,-0.0001403,0.001346145,0.003620327,-1.50E-06
0,0.005540771,0.002123518,-0.000682336,0.001347446,0.00362068,-1.98E-06
0,0.005295389,0.000293795,-0.000635959,0.001347116,0.00361406,-3.38E-06
0,0.004768632,0.001359483,-0.003278478,0.001346426,0.003617908,-7.28E-06
0,0.007033209,0.002360004,-0.007044413,0.001349563,0.003621497,-1.70E-05
0,0.001797607,0.003537471,0.002317476,0.001342431,0.003625785,1.17E-05
0,0.003682726,0.002041834,0.00156755,0.001344949,0.003620383,3.67E-06
0,0.006035595,0.000123258,0.003506085,0.001348128,0.003613442,4.71E-06
0,0.006339455,0.001460283,0.001135469,0.001348526,0.003618278,3.94E-06
