file,frame,cell,x,y,F_AniFEM_xx,F_AniFEM_xy,F_AniFEM_yx,F_AniFEM_yy,C_xx,C_yy,C_xy,PK2_xx,PK2_yy,PK2_xy,xi1,xi2,xi3,dpsidksi1,dpsidksi2,dpsidksi3,dpsidksi1_Sxy0,dpsidksi2_Sxy0,dpsidksi3_Sxy0
0_1_stretch1_01_txt.vtk,0,603,1.377717,-1.628565,0.994109,2.2e-05,0.000709,-1.018872,0.988252,1.038101,-0.000701,0.005905,0.026375,-0.000288,-0.005909,0.018696,-0.000709,0.005836,0.027379,-0.000303,0.005836,0.027379,-1.8e-05
0_1_stretch1_01_txt.vtk,0,604,1.857461,-1.728764,0.994269,2.4e-05,0.001032,-1.018639,0.988573,1.037625,-0.001028,0.005985,0.026133,-0.000422,-0.005747,0.018467,-0.00104,0.005918,0.027117,-0.000444,0.005917,0.027117,-2.7e-05
0_1_stretch1_01_txt.vtk,0,608,4.843707,-1.784693,0.996674,-0.000301,0.002724,-1.015752,0.993367,1.031751,-0.003067,0.00768,0.023473,-0.001262,-0.003327,0.015624,-0.003087,0.007636,0.024218,-0.001325,0.007629,0.024218,-7.2e-05
0_1_stretch1_01_txt.vtk,0,610,0.094746,-1.794027,0.993922,-0.0,1.8e-05,-1.019204,0.98788,1.038777,-1.9e-05,0.005862,0.026751,-8e-06,-0.006097,0.019022,-1.9e-05,0.005791,0.027788,-8e-06,0.005791,0.027788,-1e-06
0_1_stretch1_01_txt.vtk,0,612,3.480984,3.699137,0.995024,-0.000134,-0.00417,-1.018024,0.990091,1.036373,0.004112,0.006765,0.025763,0.001688,-0.004979,0.017855,0.004153,0.006712,0.0267,0.001777,0.006698,0.0267,0.000106
0_1_stretch1_01_txt.vtk,0,614,3.327746,4.163174,0.994876,-0.000247,-0.00437,-1.018352,0.989798,1.03704,0.004205,0.006787,0.026166,0.001725,-0.005127,0.018177,0.004249,0.006732,0.027134,0.001817,0.006717,0.027134,0.00011
0_1_stretch1_01_txt.vtk,0,620,3.258199,-1.010684,0.995168,-9.1e-05,0.000967,-1.017613,0.990361,1.035536,-0.001075,0.006666,0.025229,-0.000442,-0.004843,0.017459,-0.001086,0.006603,0.026126,-0.000465,0.006602,0.026126,-2.7e-05
0_1_stretch1_01_txt.vtk,0,621,0.573314,-1.894097,0.993953,1.3e-05,0.000313,-1.019157,0.987943,1.038681,-0.000306,0.005877,0.026702,-0.000126,-0.006065,0.018976,-0.00031,0.005806,0.027734,-0.000132,0.005806,0.027734,-8e-06
0_1_stretch1_01_txt.vtk,0,622,1.645129,-1.539799,0.994223,-1.7e-05,0.00075,-1.018886,0.98848,1.038129,-0.00078,0.006113,0.02649,-0.00032,-0.005793,0.018709,-0.000789,0.006043,0.0275,-0.000337,0.006042,0.0275,-2.1e-05
0_1_stretch1_01_txt.vtk,0,625,-0.710224,1.54667,0.993966,1.3e-05,0.000329,-1.019088,0.987969,1.038541,-0.000323,0.005842,0.026603,-0.000133,-0.006052,0.018909,-0.000327,0.005772,0.027628,-0.00014,0.005772,0.027628,-9e-06
0_1_stretch1_01_txt.vtk,0,626,4.474815,-4.743124,0.995591,0.000185,0.006655,-1.0178,0.991246,1.035918,-0.006589,0.007547,0.025859,-0.002701,-0.004396,0.017623,-0.006647,0.007516,0.026786,-0.002847,0.00748,0.026786,-0.00017
0_1_stretch1_01_txt.vtk,0,629,4.648829,3.315004,0.996063,0.000265,-0.004767,-1.01644,0.992165,1.033151,0.005109,0.007213,0.024072,0.002102,-0.003933,0.016294,0.005149,0.007177,0.024869,0.002208,0.007156,0.024869,0.000123
0_1_stretch1_01_txt.vtk,0,631,3.249025,-4.62634,0.994791,0.000352,0.004445,-1.018494,0.989628,1.037331,-0.004177,0.00676,0.026324,-0.001713,-0.005213,0.018317,-0.00422,0.006704,0.027306,-0.001805,0.00669,0.027306,-0.00011
0_1_stretch1_01_txt.vtk,0,632,3.104176,-0.54537,0.995065,-6.9e-05,0.000445,-1.017708,0.990154,1.03573,-0.000522,0.006569,0.025298,-0.000214,-0.004948,0.017553,-0.000527,0.006504,0.026202,-0.000225,0.006504,0.026202,-1.3e-05
0_1_stretch1_01_txt.vtk,0,634,3.691745,3.513616,0.995189,1e-05,-0.003878,-1.017768,0.990415,1.035851,0.003957,0.00683,0.025488,0.001625,-0.004816,0.017604,0.003995,0.006777,0.026401,0.00171,0.006765,0.026401,0.000101
0_1_stretch1_01_txt.vtk,0,642,4.019642,-3.345527,0.995533,-8e-05,0.004235,-1.017506,0.991105,1.035318,-0.004388,0.0072,0.025349,-0.001801,-0.004468,0.017345,-0.004427,0.007152,0.026244,-0.001896,0.007136,0.026244,-0.000111
0_1_stretch1_01_txt.vtk,0,645,2.949329,-0.079698,0.994954,-4.9e-05,-3.1e-05,-1.017825,0.989933,1.035967,-1.7e-05,0.006477,0.025393,-7e-06,-0.005059,0.017668,-1.7e-05,0.006412,0.026307,-7e-06,0.006412,0.026307,-0.0
0_1_stretch1_01_txt.vtk,0,646,3.75292,-3.430754,0.995216,2.1e-05,0.004119,-1.017469,0.990472,1.035243,-0.00417,0.006628,0.025032,-0.001714,-0.004787,0.01731,-0.00421,0.006579,0.025914,-0.001802,0.006565,0.025914,-0.000104
0_1_stretch1_01_txt.vtk,0,663,4.438492,3.503936,0.995823,5e-05,-0.005239,-1.016861,0.99169,1.034007,0.005377,0.007156,0.02455,0.00221,-0.004172,0.016707,0.005422,0.007119,0.025384,0.002324,0.007096,0.025384,0.000132
0_1_stretch1_01_txt.vtk,0,666,2.140033,-0.344859,0.994458,-3.6e-05,0.00016,-1.018475,0.988946,1.037291,-0.000199,0.006171,0.026026,-8.2e-05,-0.005558,0.018306,-0.000201,0.006103,0.026997,-8.6e-05,0.006103,0.026997,-5e-06
0_1_stretch1_01_txt.vtk,0,672,2.198389,-0.068707,0.994445,2.7e-05,0.000125,-1.018304,0.98892,1.036943,-0.0001,0.006006,0.025743,-4.1e-05,-0.005571,0.018139,-0.000101,0.00594,0.026694,-4.3e-05,0.00594,0.026694,-3e-06
0_1_stretch1_01_txt.vtk,0,673,3.996725,2.582357,0.995574,0.000182,-0.00313,-1.016998,0.991176,1.034285,0.003364,0.006844,0.024572,0.001383,-0.004431,0.01685,0.003394,0.006793,0.025414,0.001454,0.006783,0.025414,8.3e-05
0_1_stretch1_01_txt.vtk,0,674,0.399544,0.882542,0.993933,-9e-06,-0.000146,-1.01912,0.987904,1.038606,0.00014,0.005812,0.026627,5.8e-05,-0.006085,0.01894,0.000142,0.005742,0.027655,6.1e-05,0.005742,0.027655,4e-06
0_1_stretch1_01_txt.vtk,0,680,4.68657,-4.932563,0.995611,0.000203,0.007372,-1.017157,0.991296,1.034609,-0.007296,0.007045,0.024843,-0.002998,-0.004371,0.016986,-0.00736,0.007026,0.025701,-0.003153,0.006982,0.025701,-0.000181
0_1_stretch1_01_txt.vtk,0,681,0.457777,1.158898,0.993932,-1e-06,-0.000138,-1.019158,0.9879,1.038684,0.00014,0.005841,0.026686,5.8e-05,-0.006087,0.018977,0.000142,0.00577,0.027718,6.1e-05,0.00577,0.027718,4e-06
0_1_stretch1_01_txt.vtk,0,689,-0.229993,-2.160223,0.993937,-1e-05,-0.0002,-1.01925,0.98791,1.038871,0.000193,0.005926,0.026836,7.9e-05,-0.006082,0.019067,0.000196,0.005855,0.027879,8.4e-05,0.005855,0.027879,5e-06
0_1_stretch1_01_txt.vtk,0,692,3.024709,5.090226,0.994688,-0.000526,-0.004544,-1.018963,0.989424,1.038286,0.004107,0.006976,0.026987,0.001682,-0.005316,0.018778,0.004151,0.006916,0.02802,0.001775,0.006902,0.02802,0.000111
0_1_stretch1_01_txt.vtk,0,694,4.265004,2.671619,0.995841,9.4e-05,-0.003901,-1.016745,0.991715,1.03377,0.00406,0.00709,0.024383,0.00167,-0.00416,0.016598,0.004094,0.007044,0.025206,0.001755,0.007031,0.025206,9.9e-05
0_1_stretch1_01_txt.vtk,0,695,-0.326084,2.187583,0.993939,-1e-06,0.000229,-1.019341,0.987915,1.039057,-0.000235,0.006007,0.026983,-9.6e-05,-0.006079,0.019157,-0.000238,0.005934,0.028037,-0.000101,0.005934,0.028037,-6e-06
0_1_stretch1_01_txt.vtk,0,698,3.315961,-0.734007,0.995148,6e-06,0.000902,-1.017299,0.99032,1.034896,-0.000911,0.006369,0.02471,-0.000375,-0.004863,0.01715,-0.00092,0.006308,0.025572,-0.000394,0.006307,0.025572,-2.3e-05
0_1_stretch1_01_txt.vtk,0,701,-0.347284,0.894315,0.993928,-6e-06,8.9e-05,-1.019165,0.987894,1.038698,-9.7e-05,0.005841,0.026694,-4e-05,-0.00609,0.018984,-9.8e-05,0.00577,0.027727,-4.2e-05,0.00577,0.027727,-3e-06
