Xlam,PX,Ylam,PY,file,lambda_x,lambda_y,cycle_number,stress_x_mpa,stress_y_mpa
1.02696,0.0167426134909497,1.0,-0.0021823393685947,csv_109.csv,1.0250841282059284,0.9902282016201156,1,0.01463899400568075,-0.0021794117440868998
1.03,0.0196254709354245,1.0,-0.0018988348544169,csv_110.csv,1.0284376994777706,0.9890577925095786,1,0.01676794103509355,-0.00199638814320235
1.03296,0.0222799087699415,1.0,-0.0025222373464117,csv_111.csv,1.0316101425752462,0.9882039097252752,1,0.020228768504274103,-0.00260320290988825
1.036,0.0253078428932437,1.0,-0.0017414808305743,csv_112.csv,1.0349506449184729,0.9869056098647238,1,0.022402004345713898,-0.0021073308533651
1.03896,0.0273068320299604,1.0,-0.0026351826280501,csv_113.csv,1.0369145508829916,0.9861858125565232,1,0.024464801770298597,-0.0024290071825835502
1.042,0.0293323398511762,1.0,-0.0020527630168631,csv_114.csv,1.04010435914513,0.9850160658322482,1,0.0268356711919609,-0.00218237992276
1.04496,0.0323282175414346,1.0,-0.0024586600020541,csv_115.csv,1.0434198938972927,0.9838498662441348,1,0.03029959009200555,-0.0022483982416413003
1.048,0.0356338070085681,1.0,-0.0012778038155194,csv_116.csv,1.04663064543803,0.9826648630652144,1,0.03224511257484855,-0.0018316288778362
1.05096,0.0374216696796597,1.0,-0.0023589778636345,csv_117.csv,1.0498348623986984,0.9815674184032894,1,0.0346026494524204,-0.00217590091205835
1.054,0.0398138110292341,1.0,-0.0026653394778614,csv_118.csv,1.0522071991487914,0.9806421172090274,1,0.037439236628158054,-0.0025810366100434
1.05696,0.0431589985344297,1.0,-0.0021494866323632,csv_119.csv,1.055476900114444,0.9795842778037762,1,0.0398981556250747,-0.0021783457488835003
1.06,0.0450469096166057,1.0,-0.0023667824713735,csv_120.csv,1.058844285582841,0.9784811998401464,1,0.0424909176877528,-0.0024818197410106
1.06296,0.0475075736868479,1.0,-0.002065476333881,csv_121.csv,1.0622394177579058,0.977348744483442,1,0.04501099159612965,-0.0021400651952017498
