Xlam_clamps,PX_hist,Ylam_clamps,PY_hist,file,Xlam,Ylam,cycle_number,PX,PY
1.044,0.0531284395108842,1.05752,0.0651631527781023,csv_427.csv,1.0201076894424854,1.0279425320599636,2,0.04850499567977115,0.058297183256053
1.04544,0.0550477880533497,1.05952,0.0672863469083025,csv_428.csv,1.020884823450655,1.0292481485152485,2,0.0504468138999496,0.0604981179295219
1.04696,0.0574591731111085,1.06152,0.0703088659358815,csv_429.csv,1.0215431317031234,1.030634891212968,2,0.0526647997788618,0.062989960023266
1.04848,0.0599148598504396,1.06352,0.0728150614047596,csv_430.csv,1.0221230583654946,1.0314779053253993,2,0.0550512749627559,0.06591342589617255
1.05,0.0621836218400692,1.06552,0.0757207712927339,csv_431.csv,1.0229414291644223,1.0326616034239604,2,0.0572693133078805,0.0683190765137217
1.05144,0.0644154425911973,1.06752,0.0779397511402362,csv_432.csv,1.02367892018741,1.0338586060679933,2,0.0594279915772895,0.07085357086266761
1.05296,0.0665629585630624,1.06952,0.080537075601765,csv_433.csv,1.0244197391808645,1.0352680352727024,2,0.0615475463093432,0.07321367721897165
1.05448,0.0686649471638096,1.07152,0.0833816695446647,csv_434.csv,1.0251230990661797,1.036393046639592,2,0.0637083018959171,0.07602139258683904
1.056,0.0709001244716696,1.07352,0.0857566110383326,csv_435.csv,1.0257056652740442,1.037301640430769,2,0.065874166558511,0.07843327406665504
1.05744,0.0730622601413193,1.07552,0.0889015773367914,csv_436.csv,1.0265165971569363,1.0385386386280595,2,0.0680252458975867,0.0814647584112677
1.05896,0.0751155093625165,1.07752,0.0904869232206963,csv_437.csv,1.0271579183753554,1.039852599725951,2,0.07006653227665,0.08314024211921145
1.06048,0.0772660331925937,1.07952,0.0929349399892808,csv_438.csv,1.027910476046373,1.0410723371151538,2,0.07218525382099686,0.08573694174028376
1.062,0.0794334850443265,1.08152,0.0955569554840321,csv_439.csv,1.0286891885911826,1.0421869547376803,2,0.07430067262011181,0.08842586565746605
1.06344,0.0815760305692061,1.08352,0.0979273498257469,csv_440.csv,1.029080564325995,1.0430516404998675,2,0.076422360337706,0.09032065241287329
1.06496,0.0832776903426046,1.08552,0.1000335307710093,csv_441.csv,1.0298620860045595,1.0443224321168263,2,0.07814361060072285,0.09298582735746719
1.06648,0.0854314460989481,1.08752,0.1021085133635727,csv_442.csv,1.0305618733764383,1.045629170580161,2,0.08015257660678704,0.0947683401933225
1.068,0.0876496317326325,1.08952,0.1046149058918065,csv_443.csv,1.0314076034059645,1.046719324011003,2,0.08230377215428114,0.097433076648432
1.06944,0.0894675848447106,1.09152,0.1069182155776584,csv_444.csv,1.0318085967359405,1.0475741861724468,2,0.0842699033815249,0.09976060443132706
1.07096,0.0912666008015176,1.09352,0.1090540119276397,csv_445.csv,1.0324336760371784,1.048863716247522,2,0.08605157342827324,0.1020027304813163
1.07248,0.093189788983982,1.09552,0.1110691078118133,csv_446.csv,1.0332250675874266,1.0501771519838878,2,0.08802931725931384,0.1037353163623666
1.074,0.0950773784718152,1.09752,0.1139831984321485,csv_447.csv,1.033826343484923,1.0512876372558668,2,0.08992248540808451,0.1066502050448574
